pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_termos_12m,rescindido_12m,acrescimo_12m,prazo_12m,label_adverso_12m,label_v1_sem_horizonte
00509018000113-2-000630/2025,TSE,2025-02-27,1312621.88,364,Serviços de Engenharia,1000000,10.28,DEMAIS,0,1,0,0.761834,10,1,0,0.0,31,0,0
00509018000113-2-000631/2025,TSE,2025-04-01,330000.15,1825,Serviços,1000000,7.63,EMPRESA DE PEQUENO PORTE,1,1,0,3.030302,3,2,0,0.0,0,0,0
00509018000113-2-000637/2025,TSE,2025-04-08,16947.0,365,Serviços,1786196100,57.77,DEMAIS,,1,0,105398.955567,59,2,0,0.0,365,0,0
00509018000113-2-000638/2025,TSE,2025-03-31,397.0,275,Serviços,200000,15.6,MICRO EMPRESA,1,1,0,503.778338,86,0,0,0.0,0,0,0
00509018000113-2-000639/2025,TSE,2025-03-27,177.0,122,Compras,100000,4.77,MICRO EMPRESA,1,1,0,564.971751,2,0,0,0.0,0,0,0
00509018000113-2-000646/2025,TSE,2025-03-14,1570.8,61,Compras,5000,14.09,MICRO EMPRESA,0,1,0,3.183091,1,0,0,0.0,0,0,0
00509018000113-2-000649/2025,TSE,2025-03-31,540.0,19,Serviços,60000,5.71,MICRO EMPRESA,1,1,0,111.111111,1,0,0,0.0,0,0,0
00509018000113-2-000671/2025,TSE,2025-04-02,4895.0,273,Serviços,3423447.2,31.16,DEMAIS,,1,0,699.376343,203,0,0,0.0,0,0,0
00509018000113-2-005935/2024,TSE,2024-12-10,200000.0,18,Serviços,0,48.1,DEMAIS,,1,0,,3,0,0,0.0,0,0,0
00509018000113-2-000683/2025,TSE,2025-04-02,135398.21,365,Serviços,25000,3.36,MICRO EMPRESA,1,1,0,0.184641,1,2,0,0.0,0,0,0
00509018000113-2-000684/2025,TSE,2025-04-04,4990.0,365,Serviços,200000,9.02,MICRO EMPRESA,1,1,0,40.08016,39,0,0,0.0,0,0,0
00509018000113-2-000685/2025,TSE,2025-04-07,263550.0,913,Informática (TIC),5000000,15.37,DEMAIS,0,1,0,18.971732,1,0,0,0.0,0,0,0
00509018000113-2-000688/2025,TSE,2025-04-01,1047.0,90,Serviços,10000,8.76,MICRO EMPRESA,1,1,0,9.551098,5,0,0,0.0,0,0,0
00509018000113-2-000691/2025,TSE,2025-03-24,2115.0,282,Compras,800000,1.68,MICRO EMPRESA,0,1,0,378.250591,3,0,0,0.0,0,0,0
00509018000113-2-000692/2025,TSE,2025-04-02,2130.0,21,Serviços,6000,15.11,MICRO EMPRESA,1,1,0,2.816901,1,0,0,0.0,0,0,0
00509018000113-2-000693/2025,TSE,2025-03-25,267.84,30,Compras,800000,1.68,MICRO EMPRESA,0,1,0,2986.857826,3,0,0,0.0,0,0,0
00509018000113-2-000694/2025,TSE,2025-04-04,660.0,148,Serviços,3000000,17.0,DEMAIS,0,1,0,4545.454545,23,0,0,0.0,0,0,0
00509018000113-2-000695/2025,TSE,2025-03-25,1372.5,30,Compras,100000,6.57,MICRO EMPRESA,1,1,0,72.859745,1,0,0,0.0,0,0,0
00509018000113-2-000696/2025,TSE,2025-03-25,2716.2,30,Compras,100000,0.46,MICRO EMPRESA,1,1,0,36.81614,2,0,0,0.0,0,0,0
00509018000113-2-000699/2025,TSE,2025-04-08,104958.0,913,Informática (TIC),140000,11.66,EMPRESA DE PEQUENO PORTE,1,1,0,1.333867,3,0,0,0.0,0,0,0
00509018000113-2-000707/2025,TSE,2025-03-17,18000.0,10,Informática (TIC),650000,17.41,DEMAIS,0,1,0,36.111111,23,0,0,0.0,0,0,0
00509018000113-2-000708/2025,TSE,2025-04-07,4335.0,268,Compras,50000,6.62,MICRO EMPRESA,1,1,0,11.534025,15,0,0,0.0,0,0,0
00509018000113-2-000709/2025,TSE,2025-03-14,13990.0,27,Serviços,0,9.49,DEMAIS,,1,0,,18,0,0,0.0,0,0,0
00509018000113-2-000588/2025,TSE,2025-03-28,2000.0,7,Compras,250000,4.15,MICRO EMPRESA,1,1,0,125.0,3,0,0,0.0,0,0,0
00509018000113-2-000706/2025,TSE,2025-03-25,1540.0,30,Compras,300000,3.66,MICRO EMPRESA,1,1,0,194.805195,1,0,0,0.0,0,0,0
00509018000113-2-000720/2025,TSE,2025-03-28,3600.0,49,Serviços,8000000,24.27,DEMAIS,,1,0,2222.222222,45,0,0,0.0,0,0,0
00509018000113-2-000726/2025,TSE,2025-04-08,545848.2,364,Mão de Obra,500000,7.16,MICRO EMPRESA,0,1,0,0.916006,2,2,0,0.0,365,0,0
00509018000113-2-000727/2025,TSE,2025-04-08,2350.0,244,Serviços,30000,10.15,MICRO EMPRESA,1,1,0,12.765957,43,0,0,0.0,0,0,0
00509018000113-2-000731/2025,TSE,2025-04-08,1293849.96,364,Mão de Obra,150000,6.97,MICRO EMPRESA,0,1,0,0.115933,1,1,0,0.0,0,0,0
